구분,영역,학수번호,과목명,학점,시간,개설 학기,분반수,,"수강 제한
인원",주관학과
,,HALF0538,에너지와녹색산업,3,3,1,1,1,90,화공신소재전공
,,HALF1007,통계학,3,3,1,1,1,90,수학교육과
,,HALF9327,기초과학과현대산업제품군의이해,2,2,1,1,0,90,화학에너지공학전공
,,HALF9345,환경과미래사회,3,3,1,1,1,90,계당교양교육원
,생활과 건강,HALF0503,식생활과건강*,3,3,1,3,3,90,식품영양학전공
,,HALF0529,질병과노화,3,3,1,1,0,90,생명공학전공
,,HALF6004,성의과학,3,3,1,1,0,90,생명공학전공
,,HALF6020,의약품과건강생활,3,3,1,2,2,90,화공신소재전공
,,HALF9281,웰니스를위한생활관리,3,3,1,1,1,50,스포츠건강관리전공
,,HALF9330,건강과학의이해와실천,3,3,1,1,1,90,스포츠건강관리전공
,정보 기술과 산업,HALF9042,정보윤리와보안,3,3,1,1,0,90,계당교양교육원
,,HALF9240,컴퓨터활용능력(오피스)*,3,3,"1,2",2,2,40,컴퓨터과학전공
,,HALF9287,컴퓨터활용능력(동영상제작),3,3,"1,2",2,2,40,컴퓨터과학전공
,,HALF9344,4차산업혁명과메타기술,3,3,"1,2",2,1,90,계당교양교육원
,,HALF9347,프로그래밍디자인,3,3,"1,2",1,1,40,휴먼지능정보공학전공
,,HALF9348,자료시각화,3,3,"1,2",1,1,50,경영학부
,,HALF9349,인공지능과미래사회,3,3,1,1,0,90,컴퓨터과학전공
,예술과 디자인,HALF7007,색채와디자인,3,3,"1,2",1,1,90,생활예술전공
,,HALF7021,문화와복식,3,3,"1,2",1,1,90,의류학전공
,,HALF9351,미디어창작하기,3,3,"1,2",2,2,90,계당교양교육원
,,HALF9357,문자의이해와캘리그라피,3,3,"1,2",1,1,30,계당교양교육원
,,HALF9369,역사가있는영화속클래식,3,3,"1,2",1,1,90,음악학부
,,HALF9398,과학적상상력과예술,3,3,"1,2",1,1,90,계당교양교육원
,,HALF9400,대중음악제작과엔터테인먼트비즈니스,3,3,"1,2",1,1,90,계당교양교육원
,체육과 무용,HALF0604,운동과건강,3,3,"1,2",2,2,50,스포츠건강관리전공
,,HALF0635,리듬스포츠,2,2,"1,2",1,1,40,스포츠건강관리전공
,,HALF8001,스포츠와피트니스,2,2,"1,2",1,1,40,스포츠건강관리전공
,,HALF8002,레저스포츠(골프),2,2,"1,2",1,1,30,스포츠건강관리전공
,,HALF8003,구기스포츠(테니스),2,2,"1,2",2,2,25,스포츠건강관리전공
,,HALF8012,무용감상,3,3,1,1,0,90,무용예술전공
,,HALF8014,여가와사회무용,2,2,1,1,0,40,무용예술전공
,,HALF9246,글로벌스포츠경영,3,3,1,1,0,90,글로벌경영학과
,,HALF9365,스포츠를통한한국사회의이해,3,3,"1,2",1,1,90,계당교양교육원
,,HALF9375,스포츠와법,3,3,"1,2",1,1,90,행정학부
,,HALF9419,춤을향한인문적시선,3,3,"1,2",1,1,180,계당교양교육원
,인성과 리더십,HALF8018,성공학특강,1,2,1,1,0,90,계당교양교육원
,,HALF9300,인문학특강,1,2,2,0,1,90,계당교양교육원
,,HALF9301,셀프리더십과자기계발,2,2,"1,2",2,2,40,계당교양교육원
,,HALF9323,관학연계대학안전교육,2,2,"1,2",1,1,50,계당교양교육원
,,HALF9324,교양과인성(유학생),1,1,"1,2",2,2,90,계당교양교육원
,,HALF9337,통일코리아의비전과리더십,2,2,1,1,0,90,행정학부
,,HALR1236,사회봉사,1,1,"1,2",4,4,90,계당교양교육원
,커리어 디자인,HALF9333,사회혁신과소셜벤처,3,3,2,0,1,50,창업지원센터
,,HALF9390,사회심리와인간관계,3,3,"1,2",2,2,60,계당교양교육원
,,HALF9401,커리어디자인,2,2,"1,2",4,4,80,계당교양교육원
,,HALF9411,비즈니스아이디어디자인,3,3,2,0,1,50,창업지원센터
,,HALF9415,청년창업,2,2,"1,2",1,1,60,창업지원센터
,,HALF9424,발명과창업(e-러닝),3,3,"1,2",1,1,90,계당교양교육원
